Species,Scientific name,Acacia category,Flower colour label,Flower visibility / usefulness,Leaf-shed extent,Fruit / pod notes,Areas observed,Tree Count
Peepal,Ficus religiosa,Non-acacia,,Inconspicuous fig flowers,Semi-evergreen / seasonal leaf flush,Figs,"MITTAL, SIT, Area 2, Area 3, Area 4, Area 5, Sanjay Van S2, Sanjay Van S3, Sanjay Van S4",28
Pilkhan,Ficus virens / Ficus infectoria,Non-acacia,,Inconspicuous fig flowers,Goes leafless then flushes,Figs,"MITTAL, SIT, Area 1, Area 2, Area 3, Area 4",26
Prosopis Juliflora,Prosopis juliflora,Acacia,Yellow,Small / not useful for colour label,Mostly evergreen / can show partial leaf shed,Pods,"Sanjay Van S1, Sanjay Van S2, Sanjay Van S3, Sanjay Van S4",53
Saptparni,Alstonia scholaris,Non-acacia,,Small / not useful for colour label,Evergreen,,"Area 1, Area 3, Area 4",13
Sausage tree,Kigelia africana,Non-acacia,Maroon,Large but below canopy,Deciduous / partly leafless,Large sausage-like fruits,"Area 2, Area 3",2
Semal,Bombax ceiba,Non-acacia,Red/orange,Showy,Goes leafless / deciduous,,"SIT, Area 1, Area 3, Area 4",4
Semal fig,,Non-acacia,,,,Fig-like note in species name,"SIT, Area 3",7
Shahtoot,Morus spp.,Non-acacia,,Small / not useful for colour label,Deciduous,Mulberry fruit; PDF marks one as fruiting,"Area 2, Area 3, Area 4",9
Sheesham,Dalbergia sissoo,Non-acacia,,Small / not useful for colour label,Deciduous / partly leafless,Pods,"Area 1, Area 2, Area 4",6
Siris,Albizia lebbeck,Non-acacia,Yellow,Visible / moderate,Deciduous / partly leafless,Golden pods; one note says no pods,"MITTAL, SIT, Area 1, Area 3, Area 4",8
Subabool,Leucaena leucocephala,Acacia,White,Small / puffball-type; not useful for colour label,Partially leafless / observed leaf shed,Pods,"Sanjay Van S1, Sanjay Van S2",3
Teak,Tectona grandis,Non-acacia,White,Small / not useful for colour label,Deciduous / leafless in dry season,,Sanjay Van S1,2
